2021-09-09,14:07:45,2021-09-09,14:08:31,W7HD,DM42,7.074597,FT8,-05,-07,,,
2021-09-09,14:13:00,2021-09-09,14:13:31,KA0CDW,EN21,14.074597,FT8,-11,-08,,,
2021-09-11,15:26:30,2021-09-11,15:27:47,K4IO,EM83,14.074842,FT8,-10,-07,,,
2021-09-11,16:58:00,2021-09-11,16:58:47,K4IO,EM83,14.074779,FT8,-14,-13,,,
2021-09-24,15:39:45,2021-09-24,15:40:46,JH0MAU,PM97,7.074780,FT8,-19,-15,,,
2021-09-24,15:44:15,2021-09-24,15:44:15,JH0MAU,PM97,7.074780,FT8,-19,-15,,,
2021-09-28,14:56:15,2021-09-28,14:57:01,KR7DX,DM22,7.075077,FT8,+03,-15,,,
2021-11-04,21:46:00,2021-11-04,21:46:45,W9RJ,EN60,14.074733,FT8,+13,-04,,,,
2021-11-06,19:39:30,2021-11-06,19:40:15,KK6MYO,DM79,14.074733,FT8,-01,-05,,,,
2021-11-06,19:48:15,2021-11-06,19:49:45,AB0VD,,14.074733,FT8,+10,-10,,,,
2021-11-24,21:34:30,2021-11-24,21:36:00,KB1EFS,FN42,10.136817,FT8,-07,-16,,,,
2021-12-12,17:30:30,2021-12-12,17:31:15,K7KSH,DM65,14.074420,FT8,+20,+13,,,,
2022-01-15,16:38:45,2022-01-15,16:39:30,KC3BTV,DM23,14.074951,FT8,+01,-03,,,,
2022-01-15,16:48:15,2022-01-15,16:50:00,K4BX,EM65,10.136951,FT8,+04,-19,,,,
2023-10-13,13:24:45,2023-10-13,13:25:30,JH3WLT,PM85,7.076207,FT8,-01,-18,,,,
2023-11-13,15:50:15,2023-11-13,15:51:00,K5TLL,EM51,14.076124,FT8,-02,-13,,,,
2023-11-13,15:53:15,2023-11-13,15:54:00,KD8BPY,EM79,14.076124,FT8,-12,-21,,,,
2023-11-13,16:07:15,2023-11-13,16:08:00,K5HTE,EM12,21.076054,FT8,+09,-18,,,,
2023-11-13,16:17:45,2023-11-13,16:18:30,N4DWD,EM86,21.076548,FT8,+03,-24,,,,
